5350520.10 (Census tract) GNR=25.7,,,,,,,,,,
Topic,,Characteristics,,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Ethnic origin population,,      Taiwanese,9,,20,,20,,0,
Ethnic origin population,,      Thai,4,,0,,0,,0,
Ethnic origin population,,      Tibetan,7,,0,,0,,0,
Ethnic origin population,,      Vietnamese,10,,35,,20,,15,
Ethnic origin population,,      East and Southeast Asian origins; n.i.e.,ESAONIE,52,30,,10,,20,
Ethnic origin population,,    Other Asian origins,OAO,,40,,15,,20,
Ethnic origin population,,      Other Asian origins; n.i.e.,OAONIE,53,40,,20,,25,
Ethnic origin population,,  Oceania origins,OCEANORG,,0,,0,,0,
Ethnic origin population,,    Australian,10,,0,,0,,0,
Ethnic origin population,,    New Zealander,NEWZEAL,,0,,0,,0,
Ethnic origin population,,    Pacific Islands origins,PIO,,0,,0,,0,
Ethnic origin population,,      Fijian,6,,0,,0,,0,
Ethnic origin population,,      Hawaiian,8,,0,,0,,0,
Ethnic origin population,,      Maori,5,,0,,0,,0,
Ethnic origin population,,      Polynesian; n.o.s.,POLYNESNOS,,0,,0,,0,
Ethnic origin population,,      Samoan,6,,0,,0,,0,
Ethnic origin population,,      Pacific Islands origins; n.i.e.,PIONIE,54,0,,0,,0,
Religion,RELIG,Total population in private households by religion,TPPHR,55,9200,,4630,,4565,
Religion,,  Buddhist,8,,130,,65,,70,
Religion,,  Christian,9,,4000,,1925,,2075,
Religion,,    Anglican,8,,140,,75,,65,
Religion,,    Baptist,7,,130,,55,,70,
Religion,,    Catholic,8,,2525,,1180,,1345,
Religion,,    Christian Orthodox,CHRISORTH,,330,,195,,135,
Religion,,    Lutheran,8,,0,,0,,0,
Religion,,    Pentecostal,PENTECOST,,200,,70,,130,
Religion,,    Presbyterian,PRESBYTER,,120,,75,,50,
Religion,,    United Church,UNICHURC,,40,,0,,30,
Religion,,    Other Christian,OTHERCHRIS,,515,,270,,250,
Religion,,  Hindu,5,,1000,,500,,500,
Religion,,  Jewish,6,,25,,0,,0,
Religion,,  Muslim,6,,2495,,1285,,1210,
Religion,,  Sikh,4,,130,,65,,65,
Religion,,  Traditional (Aboriginal) Spirituality,TRADABOSPIR,,0,,0,,0,
Religion,,  Other religions,OTHERRELIG,,65,,30,,30,
Religion,,  No religious affiliation,NORELIG,,1355,,745,,610,
Aboriginal population,ABPOP,Total population in private households by Aboriginal identity,TPPHAI,,9200,,4635,,4565,
Aboriginal population,,  Aboriginal identity,AI,56,25,,0,,20,
Aboriginal population,,    First Nations (North American Indian) single identity,FIRSTNATSI,57,0,,0,,0,
Aboriginal population,,    Métis single identity,METSI,,15,,0,,15,
Aboriginal population,,    Inuk (Inuit) single identity,INUKSI,,0,,0,,0,
Aboriginal population,,    Multiple Aboriginal identities,MULTIAI,58,0,,0,,0,
Aboriginal population,,    Aboriginal identities not included elsewhere,ALNIE,59,0,,0,,0,
Aboriginal population,,  Non-Aboriginal identity,NAI,,9175,,4630,,4550,
Aboriginal population,,Total population in private households by Registered or Treaty Indian status,TPPHRTIS,57,9200,,4635,,4565,
Aboriginal population,,  Registered or Treaty Indian,RTI,60,15,,0,,15,
Aboriginal population,,  Not a Registered or Treaty Indian,NRTI,,9185,,4635,,4550,
Aboriginal population,,Total population in private households by Aboriginal ancestry,TPPHAA,61,9200,,4630,,4565,
Aboriginal population,,  Aboriginal ancestry,AA,62,80,,0,,50,
Aboriginal population,,    First Nations (North American Indian) Aboriginal ancestry,FNNAIAA,57,55,,0,,35,
Aboriginal population,,    Métis ancestry,MA,,20,,0,,15,
Aboriginal population,,    Inuit ancestry,IA,,0,,0,,0,
Aboriginal population,,  Non-Aboriginal ancestry only,NAAO,63,9125,,4610,,4515,
Non-official languages spoken,NOOLANSPO,Total population in private households by non-official languages spoken,TPPHNOLS,64,6485,,3265,,3225,
Non-official languages spoken,,  Aboriginal languages,ALNIE,,0,,0,,0,
Non-official languages spoken,,    Algonquin,9,,0,,0,,0,
Non-official languages spoken,,    Atikamekw,9,,0,,0,,0,
Non-official languages spoken,,    Blackfoot,9,,0,,0,,0,
Non-official languages spoken,,    Cree languages,CREELANG,65,0,,0,,0,
Non-official languages spoken,,    Mi'kmaq,7,,0,,0,,0,
Non-official languages spoken,,    Innu/Montagnais,INNUMONT,,0,,0,,0,
Non-official languages spoken,,    Ojibway,7,,0,,0,,0,
Non-official languages spoken,,    Oji-Cree,8,,0,,0,,0,
Non-official languages spoken,,    Carrier,7,,0,,0,,0,
Non-official languages spoken,,    Dene,4,,0,,0,,0,
Non-official languages spoken,,    Tlicho (Dogrib),TLICHO,,0,,0,,0,
Non-official languages spoken,,    Slavey; n.o.s.,SLAVEY,,0,,0,,0,
Non-official languages spoken,,    Stoney,6,,0,,0,,0,
Non-official languages spoken,,    Inuktitut,9,,0,,0,,0,
Non-official languages spoken,,    Other Aboriginal languages,OAL,66,0,,0,,0,
Non-official languages spoken,,  Non-Aboriginal languages,NAL,,6485,,3265,,3225,
Non-official languages spoken,,    Italian,7,,45,,20,,0,
Non-official languages spoken,,    Portuguese,10,,290,,135,,155,
Non-official languages spoken,,    Romanian,8,,15,,0,,0,
Non-official languages spoken,,    Spanish,7,,315,,160,,155,
Non-official languages spoken,,    Dutch,5,,0,,0,,0,
Non-official languages spoken,,    Flemish,7,,0,,0,,0,
Non-official languages spoken,,    German,6,,50,,40,,0,
Non-official languages spoken,,    Yiddish,7,,0,,0,,0,
Non-official languages spoken,,    Danish,6,,0,,0,,0,
Non-official languages spoken,,    Norwegian,9,,0,,0,,0,
Non-official languages spoken,,    Swedish,7,,10,,0,,0,
Non-official languages spoken,,    Afrikaans,9,,0,,0,,0,
Non-official languages spoken,,    Gaelic languages,GAELIC,,0,,0,,0,
Non-official languages spoken,,    Bosnian,7,,0,,0,,0,
Non-official languages spoken,,    Bulgarian,9,,0,,0,,0,
Non-official languages spoken,,    Croatian,8,,60,,25,,40,
Non-official languages spoken,,    Czech,5,,0,,0,,0,
Non-official languages spoken,,    Macedonian,10,,0,,0,,0,
Non-official languages spoken,,    Polish,6,,250,,130,,120,
Non-official languages spoken,,    Russian,7,,50,,35,,0,
Non-official languages spoken,,    Serbian,7,,45,,20,,25,
Non-official languages spoken,,    Serbo-Croatian,SERBOCROA,,0,,0,,0,
Non-official languages spoken,,    Slovak,6,,10,,0,,0,
Non-official languages spoken,,    Slovenian,9,,0,,0,,0,
Non-official languages spoken,,    Ukrainian,9,,35,,0,,25,
Non-official languages spoken,,    Latvian,7,,0,,0,,0,
Non-official languages spoken,,    Lithuanian,10,,0,,0,,0,
Non-official languages spoken,,    Greek,5,,25,,0,,0,
Non-official languages spoken,,    Armenian,8,,0,,0,,0,
Non-official languages spoken,,    Albanian,8,,0,,0,,0,
Non-official languages spoken,,    Estonian,8,,0,,0,,0,
Non-official languages spoken,,    Finnish,7,,0,,0,,0,
Non-official languages spoken,,    Hungarian,9,,0,,0,,0,
Non-official languages spoken,,    Turkish,7,,20,,0,,15,
Non-official languages spoken,,    Berber languages (Kabyle),BERBER,,0,,0,,0,
Non-official languages spoken,,    Oromo,5,,0,,0,,0,
Non-official languages spoken,,    Somali,6,,0,,0,,0,
Non-official languages spoken,,    Amharic,7,,0,,0,,0,
Non-official languages spoken,,    Arabic,6,,1390,,750,,640,
Non-official languages spoken,,    Hebrew,6,,0,,0,,0,
Non-official languages spoken,,    Maltese,7,,0,,0,,0,
Non-official languages spoken,,    Tigrigna,8,,0,,0,,0,
Non-official languages spoken,,    Semitic languages; n.i.e.,SEMITIC,,0,,0,,0,
Non-official languages spoken,,    Bengali,7,,85,,55,,30,
Non-official languages spoken,,    Gujarati,8,,80,,45,,40,
Non-official languages spoken,,    Hindi,5,,920,,485,,435,
Non-official languages spoken,,    Konkani,7,,55,,30,,25,
Non-official languages spoken,,    Marathi,7,,115,,50,,70,
Non-official languages spoken,,    Panjabi (Punjabi),PUNJABI,,320,,175,,145,
Non-official languages spoken,,    Sindhi,6,,30,,0,,20,
Non-official languages spoken,,    Sinhala (Sinhalese),SINHALA,,25,,0,,20,
Non-official languages spoken,,    Urdu,4,,1070,,570,,500,
Non-official languages spoken,,    Nepali,6,,0,,0,,0,
Non-official languages spoken,,    Kurdish,7,,0,,0,,0,
Non-official languages spoken,,    Pashto,6,,20,,0,,0,
Non-official languages spoken,,    Persian (Farsi),FARSI,,110,,40,,70,
Non-official languages spoken,,    Indo-Iranian languages; n.i.e.,INDOIRAN,,0,,0,,0,
Non-official languages spoken,,    Kannada,7,,15,,0,,0,
Non-official languages spoken,,    Malayalam,9,,90,,45,,45,
Non-official languages spoken,,    Tamil,5,,185,,85,,95,
Non-official languages spoken,,    Telugu,6,,60,,35,,0,
Non-official languages spoken,,    Japanese,8,,30,,15,,15,
Non-official languages spoken,,    Korean,6,,160,,100,,60,
Non-official languages spoken,,    Cantonese,9,,395,,165,,225,
Non-official languages spoken,,    Fukien,6,,0,,0,,0,
Non-official languages spoken,,    Hakka,5,,0,,0,,0,
Non-official languages spoken,,    Mandarin,8,,355,,170,,185,
Non-official languages spoken,,    Taiwanese,9,,15,,0,,0,
Non-official languages spoken,,    Chinese; n.o.s.,CHINNOS,,200,,85,,115,
Non-official languages spoken,,    Lao,3,,0,,0,,0,
Non-official languages spoken,,    Thai,4,,0,,0,,0,
Non-official languages spoken,,    Khmer (Cambodian),CAMBKHMER,,0,,0,,0,
Non-official languages spoken,,    Vietnamese,10,,20,,0,,0,
Non-official languages spoken,,    Bisayan languages,BISAYAN,,0,,0,,0,
Non-official languages spoken,,    Ilocano,7,,0,,0,,0,
Non-official languages spoken,,    Malay,5,,0,,0,,0,
Non-official languages spoken,,    Tagalog (Pilipino;Filipino),TAGALOG,,405,,185,,225,
Non-official languages spoken,,    Akan (Twi),10,,0,,0,,0,
Non-official languages spoken,,    Lingala,7,,0,,0,,0,
Non-official languages spoken,,    Rundi (Kirundi),RUNDI,,0,,0,,0,
Non-official languages spoken,,    Rwanda (Kinyarwanda),RWANDA,,0,,0,,0,
Non-official languages spoken,,    Swahili,7,,0,,0,,0,
Non-official languages spoken,,    Bantu languages; n.i.e.,BANTU,,0,,0,,0,
Non-official languages spoken,,    Niger-Congo languages; n.i.e.,NIGERCONGO,,0,,0,,0,
Non-official languages spoken,,    African languages; n.i.e.,AFRINIE,,0,,0,,0,
Non-official languages spoken,,    Creoles,7,,0,,0,,0,
Non-official languages spoken,,    Other non-Aboriginal languages,OTHNALANG,67,30,,20,,0,
Mobility,MOBILITY,Total - Mobility status 1 year ago,TMOBS1YRA,68,9030,,4560,,4475,
Mobility,,  Non-movers,10,,6710,,3425,,3285,
Mobility,,  Movers,6,,2320,,1135,,1185,
Mobility,,    Non-migrants,NONMIGRANT,,1180,,545,,630,
Mobility,,    Migrants,8,,1145,,590,,560,
Mobility,,      Internal migrants,IMIGRANTS,,715,,345,,370,
Mobility,,        Intraprovincial migrants,INTRAPMIG,,685,,325,,360,
Mobility,,        Interprovincial migrants,INTERPMIG,,35,,25,,0,
Mobility,,      External migrants,EXTMIGRANT,,425,,240,,190,
Mobility,,Total - Mobility status 5 years ago,TMOBS5YRA,69,8610,,4350,,4255,
Mobility,,  Non-movers,10,,2370,,1130,,1235,
Mobility,,  Movers,6,,6240,,3220,,3020,
Mobility,,    Non-migrants,NONMIGRANT,,2480,,1205,,1280,
Mobility,,    Migrants,8,,3760,,2020,,1740,
Mobility,,      Internal migrants,IMIGRANTS,,1690,,905,,790,
Mobility,,        Intraprovincial migrants,INTRAPMIG,,1425,,765,,660,
Mobility,,        Interprovincial migrants,INTERPMIG,,265,,135,,130,
Mobility,,      External migrants,EXTMIGRANT,,2065,,1115,,955,
Education,EDU,Total population aged 15 years and over by highest certificate; diploma or degree,TPA15OHCDD,70,7765,,3885,,3880,
Education,,  No certificate; diploma or degree,NCDD,,525,,250,,280,
Education,,  High school diploma or equivalent,HSDE,71,1680,,845,,835,
Education,,  Postsecondary certificate; diploma or degree,PSCDD,72,5560,,2795,,2765,
Education,,    Apprenticeship or trades certificate or diploma,APPTCD,73,280,,125,,155,
Education,,    College; CEGEP or other non-university certificate or diploma,CEGEP,,1045,,465,,580,
Education,,    University certificate or diploma below bachelor level,UCDBBL,74,580,,325,,260,
Education,,    University certificate; diploma or degree at bachelor level or above,UCDDBLA,,3660,,1885,,1770,
Education,,      Bachelor's degree,BACHDEG,,2485,,1235,,1250,
Education,,      University certificate; diploma or degree above bachelor level,UCDDABL,75,1175,,655,,520,
Education,,Total population aged 25 to 64 years by highest certificate; diploma or degree,TP25_64CDD,70,5880,,2945,,2935,
Education,,  No certificate; diploma or degree,NCDD,,195,,90,,100,
Education,,  High school diploma or equivalent,HSDE,71,970,,500,,475,
Education,,  Postsecondary certificate; diploma or degree,PSCDD,72,4715,,2355,,2355,
Education,,    Apprenticeship or trades certificate or diploma,APPTCD,73,185,,105,,80,
Education,,    College; CEGEP or other non-university certificate or diploma,CEGEP,,815,,360,,445,
Education,,    University certificate or diploma below bachelor level,UCDBBL,74,420,,240,,185,
Education,,    University certificate; diploma or degree at bachelor level or above,UCDDBLA,,3290,,1645,,1640,
Education,,      Bachelor's degree,BACHDEG,,2225,,1045,,1180,
Education,,      University certificate; diploma or degree above bachelor level,UCDDABL,75,1065,,600,,460,
Education,,Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,TPCIP,76,7770,,3885,,3885,
Education,,  No postsecondary certificate; diploma or degree,NPCDD,77,2210,,1090,,1120,
Education,,  Education,EDU,,260,,65,,195,
Education,,  Visual and performing arts; and communications technologies,VPACT,,165,,95,,70,
Education,,  Humanities,HUMAN,,335,,50,,285,
Education,,  Social and behavioural sciences and law,SOCBEHSCI,,620,,300,,325,
Education,,  Business; management and public administration,BUSMANPA,,1590,,740,,850,
Education,,  Physical and life sciences and technologies,PHYLIFETEC,,345,,115,,225,
Education,,  Mathematics; computer and information sciences,MATHCOMPIS,,470,,320,,145,
Education,,  Architecture; engineering; and related technologies,ARCHENGRT,,1030,,845,,185,
Education,,  Agriculture; natural resources and conservation,AGRNRCON,,40,,15,,25,
Education,,  Health and related fields,HEALTHRF,78,535,,170,,365,
Education,,  Personal; protective and transportation services,PPTS,,175,,65,,110,
Education,,  Other fields of study,OTHERFOS,79,0,,0,,0,
Education,,Total population aged 15 years and over by location of study compared with province or territory of residence,TPA15LOSPT,80,7770,,3885,,3880,
Education,,  No postsecondary certificate; diploma or degree,NPCDD,,2205,,1090,,1120,
Education,,  With postsecondary certificate; diploma or degree,WPCDD,,5560,,2795,,2765,
Education,,    Location of study inside Canada,LOSIC,,2800,,1355,,1450,
Education,,      Same as province or territory of residence,SPROVTOR,,2535,,1215,,1315,
Education,,      Another province or territory,APROVT,,270,,135,,130,
Education,,    Location of study outside Canada,LOSOC,,2755,,1440,,1310,
Language used most often at work,LANATWRK,Total population aged 15 years and over by language used most often at work,TPA15LWRK,81,5635,,3130,,2505,
Language used most often at work,,  Single responses,SINGRES,,5520,,3070,,2450,
Language used most often at work,,    English,7,,5380,,2995,,2380,
Language used most often at work,,    French,6,,20,,0,,0,
Language used most often at work,,    Non-official languages,NOL,,115,,65,,45,
Language used most often at work,,      Chinese; n.o.s.,CHINNOS,,0,,0,,0,
Language used most often at work,,      Cantonese,9,,0,,0,,0,
Language used most often at work,,      Panjabi (Punjabi),PUNJABI,,0,,0,,0,
Language used most often at work,,      Mandarin,8,,0,,0,,0,
Language used most often at work,,      Spanish,7,,0,,0,,0,
Language used most often at work,,      Korean,6,,0,,0,,0,
Language used most often at work,,      German,6,,0,,0,,0,
Language used most often at work,,      Cree languages,CREELANG,82,0,,0,,0,
Language used most often at work,,      Portuguese,10,,0,,0,,0,
Language used most often at work,,      Inuktitut,9,,0,,0,,0,
Language used most often at work,,      Other languages,,,95,,55,,40,
Language used most often at work,,  Multiple responses,MULTIRESP,,115,,60,,55,
Language used most often at work,,    English and French,ENGFREN,,40,,0,,35,
Language used most often at work,,    English and non-official language,ENGNOL,,70,,55,,20,
Language used most often at work,,    French and non-official language,FRENNOL,,0,,0,,0,
Language used most often at work,,    English; French and non-official language,EFNOL,,0,,0,,0,
Language used most often at work,,Total population aged 15 years and over by language used most often at work,TPA15LWRK,81,5635,,3130,,2500,
Language used most often at work,,  English,7,,5380,,3000,,2385,
Language used most often at work,,  French,6,,20,,0,,0,
Language used most often at work,,  Non-official language,NOL,,115,,65,,50,
Language used most often at work,,    Aboriginal,10,,0,,0,,0,
Language used most often at work,,    Non-Aboriginal,NONABOR,,115,,65,,45,
Language used most often at work,,  English and French,ENGFREN,,45,,0,,35,
Language used most often at work,,  English and non-official language,ENGNOL,,75,,55,,20,
Language used most often at work,,  French and non-official language,FRENNOL,,0,,0,,0,
Language used most often at work,,  English; French and non-official language,EFNOL,,0,,0,,0,
Labour force status,LBRFRCSTAT,Total population aged 15 years and over by labour force status,TPA15OLFS,83,7765,,3885,,3880,
Labour force status,,  In the labour force,INLF,,5435,,2945,,2490,
Labour force status,,    Employed,8,,4925,,2680,,2240,
Labour force status,,    Unemployed,10,,515,,260,,255,
Labour force status,,  Not in the labour force,NILF,,2330,,945,,1390,
Labour force status,,Participation rate,PR,,70,,75.8,,64.2,
Labour force status,,Employment rate,ER,,63.4,,69,,57.7,
Labour force status,,Unemployment rate,UR,,9.5,,8.8,,10.2,
Class of worker,CLSWRK,Total labour force aged 15 years and over by class of worker,TLFA15COW,84,5435,,2945,,2495,
Class of worker,,  Class of worker - not applicable,COWNA,85,180,,70,,110,
Class of worker,,  All classes of worker,ACOW,86,5255,,2870,,2380,
Class of worker,,    Employee,8,,4860,,2590,,2270,
Class of worker,,    Self-employed,SE,87,395,,280,,115,
Occupation,OCCUPTION,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,TLFA15O,88,5435,,2940,,2490,
Occupation,,  Occupation - not applicable,OCCNA,89,185,,75,,110,
Occupation,,  All occupations,AO,86,5255,,2870,,2380,
Occupation,,    0 Management occupations,MO,,775,,470,,300,
Occupation,,    1 Business; finance and administration occupations,BFA,,1065,,380,,685,
Occupation,,    2 Natural and applied sciences and related occupations,NASRO,,735,,570,,165,
Occupation,,    3 Health occupations,HO,,205,,100,,105,
Occupation,,    4 Occupations in education; law and social; community and government services,OCCELSCGS,,470,,185,,285,
Occupation,,    5 Occupations in art; culture; recreation and sport,OCCACRS,,110,,70,,35,
Occupation,,    6 Sales and service occupations,SSO,,1340,,635,,705,
Occupation,,    7 Trades; transport and equipment operators and related occupations,TTEORO,,405,,360,,50,
Occupation,,    8 Natural resources; agriculture and related production occupations,NRARPO,,0,,0,,0,
Occupation,,    9 Occupations in manufacturing and utilities,OCCMU,,140,,85,,55,
Industry,INDUSTRY,Total labour force population aged 15 years and over by industry - North American Industry Classification System (NAICS) 2007,TLFA15I,90,5435,,2940,,2490,
Industry,,  Industry - not applicable,INA,89,180,,70,,110,
Industry,,  All industries,AI,86,5255,,2870,,2380,
Industry,,    11 Agriculture; forestry; fishing and hunting,AGRFFH,,0,,0,,0,
Industry,,    21 Mining; quarrying; and oil and gas extraction,MINQOGE,,0,,0,,0,
Industry,,    22 Utilities,UTIL,,50,,30,,0,
Industry,,    23 Construction,CONSTR,,165,,150,,15,
Industry,,    31-33 Manufacturing,MANUFA,,520,,340,,185,
Industry,,    41 Wholesale trade,WHOLETRADE,,335,,195,,135,
Industry,,    44-45 Retail trade,RETTRADE,,470,,160,,315,
Industry,,    48-49 Transportation and warehousing,TRANSWARE,,435,,295,,145,
Industry,,    51 Information and cultural industries,INFOCI,,200,,150,,55,
Industry,,    52 Finance and insurance,FININ,,420,,195,,220,
Industry,,    53 Real estate and rental and leasing,RERL,,205,,165,,40,
Industry,,    54 Professional; scientific and technical services,PROFSCITS,,765,,495,,265,
Industry,,    55 Management of companies and enterprises,MANCE,,0,,0,,0,
Industry,,    56 Administrative and support; waste management and remediation services,ADSWMRS,,310,,100,,200,
Industry,,    61 Educational services,EDUSER,,375,,175,,200,
Industry,,    62 Health care and social assistance,HCSA,,320,,90,,230,
Industry,,    71 Arts; entertainment and recreation,ARTENTRECR,,55,,50,,0,
Industry,,    72 Accommodation and food services,ACCFS,,250,,140,,105,
Industry,,    81 Other services (except public administration),OSXPA,,195,,55,,140,
Industry,,    91 Public administration,PA,,130,,55,,75,
Work activity,WRKACT,Total labour force aged 15 years and over by work activity in 2010,TLFA15WA,91,5435,,2945,,2495,
Work activity,,  Did not work in 2010,DNW2010,92,405,,200,,205,
Work activity,,  Worked in 2010,W2010,,5035,,2745,,2290,
Work activity,,    1 to 13 weeks,1TO13WK,,270,,190,,80,
Work activity,,    14 to 26 weeks,14TO26WK,,380,,200,,180,
Work activity,,    27 to 39 weeks,27TO39WK,,300,,190,,105,
Work activity,,    40 to 48 weeks,40TO48WK,,885,,415,,470,
Work activity,,    49 to 52 weeks,49TO52WK,,3190,,1740,,1455,
Work activity,,Average weeks worked in 2010,AWW2010,,44.6,,44.1,,45.3,
Full-time or part-time weeks worked,FTPTWWRK,Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,TLFA15FTPT,93,5435,,2940,,2495,
Full-time or part-time weeks worked,,  Did not work in 2010,DNW2010,92,405,,195,,205,
Full-time or part-time weeks worked,,  Worked in 2010,W2010,,5030,,2745,,2290,
Full-time or part-time weeks worked,,    Worked full-time in 2010,WFT,,4385,,2465,,1920,
Full-time or part-time weeks worked,,    Worked part-time in 2010,WPT,,650,,280,,365,
Place of work status,POWSTAT,Total employed population aged 15 years and over by place of work status,TEPA15WS,94,4920,,2680,,2240,
Place of work status,,  Worked at home,WATHOME,,345,,220,,120,
Place of work status,,  Worked outside Canada,WRKOCAN,,80,,45,,40,
Place of work status,,  No fixed workplace address,NFWA,,445,,285,,165,
Place of work status,,  Worked at usual place,WAUSEPLCE,,4045,,2130,,1915,
Mode of transportation,MOT,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,TEPA15NFW,95,4495,,2415,,2075,
Mode of transportation,,  Car; truck or van - as a driver,CARDRIVE,,3170,,1895,,1280,
Mode of transportation,,  Car; truck or van - as a passenger,CARPASS,,235,,110,,120,
Mode of transportation,,  Public transit,PUBTRANS,,885,,310,,575,
Mode of transportation,,  Walked,6,,155,,55,,95,
Mode of transportation,,  Bicycle,7,,0,,0,,0,
Mode of transportation,,  Other methods,OTHMETH,,45,,40,,0,
Median commuting duration,MEDCOMMDUR,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,TEPA15NFW,96,4495,,2415,,2075,
Median commuting duration,,Median commuting duration,MEDCOMDUR,,26,,25.9,,30,
Time leaving for work,TLFWRK,Total employed population aged 15 years and over by time leaving for work,TEPA15TLOW,97,4490,,2415,,2075,
Time leaving for work,,  Between 5 and 6:59 a.m.,5_659AM,,890,,550,,340,
Time leaving for work,,  Between 7 and 9:00 a.m.,7_900AM,,2685,,1345,,1335,
Time leaving for work,,  Anytime after 9:00 a.m.,AFT900AM,,920,,520,,395,
Occupied private dwelling characteristics,OCCPRIDWC,Total number of occupied private dwellings by condition of dwelling,TNOPDCD,98,4060,,,...,,...
Occupied private dwelling characteristics,,  Only regular maintenance or minor repairs needed,REGMMRN,,3970,,,...,,...
Occupied private dwelling characteristics,,  Major repairs needed,MRN,,95,,,...,,...
Occupied private dwelling characteristics,,Total number of occupied private dwellings by period of construction,TNOPDPC,99,4065,,,...,,...
Occupied private dwelling characteristics,,  1960 or before,1960B4,,65,,,...,,...
Occupied private dwelling characteristics,,  1961 to 1980,1961TO1980,,75,,,...,,...
Occupied private dwelling characteristics,,  1981 to 1990,1981TO1990,,765,,,...,,...
Occupied private dwelling characteristics,,  1991 to 2000,1991TO2000,,635,,,...,,...
Occupied private dwelling characteristics,,  2001 to 2005,2001TO2005,,940,,,...,,...
Occupied private dwelling characteristics,,  2006 to 2011,2006TO2011,100,1585,,,...,,...
Occupied private dwelling characteristics,,Total number of occupied private dwellings by number of rooms,TNOPDNOR,101,4060,,,...,,...
Occupied private dwelling characteristics,,  1 to 4 rooms,1TO4RM,,2735,,,...,,...
Occupied private dwelling characteristics,,  5 rooms,7,,885,,,...,,...
Occupied private dwelling characteristics,,  6 rooms,7,,200,,,...,,...
Occupied private dwelling characteristics,,  7 rooms,7,,155,,,...,,...
Occupied private dwelling characteristics,,  8 or more rooms,8RMMORE,,85,,,...,,...
Occupied private dwelling characteristics,,Average number of rooms per dwelling,ANRPERDWEL,,4,,,...,,...
Occupied private dwelling characteristics,,Total number of occupied private dwellings by number of bedrooms,TNOPDNOBED,102,4065,,,...,,...
Occupied private dwelling characteristics,,  0 to 1 bedroom,0TO1BED,,1495,,,...,,...
Occupied private dwelling characteristics,,  2 bedrooms,10,,2105,,,...,,...
Occupied private dwelling characteristics,,  3 bedrooms,10,,305,,,...,,...
Occupied private dwelling characteristics,,  4 or more bedrooms,4BEDMORE,,155,,,...,,...
Household characteristics,HOUSECHAR,Total number of private households by tenure,TNPHBYTEN,103,4065,,,...,,...
Household characteristics,,  Owner,5,,2590,,,...,,...
Household characteristics,,  Renter,6,,1470,,,...,,...
Household characteristics,,  Band housing,BANDHOUSE,,0,,,...,,...
Household characteristics,,Total number of private households by condominium status,TNPHCS,104,4065,,,...,,...
Household characteristics,,  Part of a condominium development,PCD,,3810,,,...,,...
Household characteristics,,  Not part of a condominium development,NPCD,,255,,,...,,...
Household characteristics,,Total number of private households by number of household maintainers,THPHNHM,105,4060,,,...,,...
Household characteristics,,  1 household maintainer,1HM,,2785,,,...,,...
Household characteristics,,  2 household maintainers,2HM,,1170,,,...,,...
Household characteristics,,  3 or more household maintainers,3HM,,110,,,...,,...
Household characteristics,,Total number of private households by age group of primary household maintainers,TNPHAGPHM,106,4060,,,...,,...
Household characteristics,,  Under 25 years,U25YRS,,225,,,...,,...
Household characteristics,,  25 to 34 years,25TO34,,1165,,,...,,...
Household characteristics,,  35 to 44 years,35TO44,,1010,,,...,,...
Household characteristics,,  45 to 54 years,45TO54,,695,,,...,,...
Household characteristics,,  55 to 64 years,55TO65,,505,,,...,,...
Household characteristics,,  65 to 74 years,65TO74,,265,,,...,,...
Household characteristics,,  75 years and over,75YROVR,,190,,,...,,...
Household characteristics,,Total number of private households by number of persons per room,TNPHNPPR,107,4065,,,...,,...
Household characteristics,,  One person or fewer per room,OPFPR,,3620,,,...,,...
Household characteristics,,  More than one person per room,MTOPPR,,445,,,...,,...
Household characteristics,,Total number of private households by housing suitability,TNPHHS,108,4060,,,...,,...
Household characteristics,,  Suitable,8,,3200,,,...,,...
Household characteristics,,  Not suitable,NOTSUIT,,860,,,...,,...
Shelter costs,SHELTERC,Total number of owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio,TNOTHHTIGZ,109,3980,,,...,,...
Shelter costs,,  Spending less than 30% of household total income on shelter costs,30PLHTISC,,2075,,,...,,...
Shelter costs,,  Spending 30% or more of household total income on shelter costs,30PMHTISC,,1905,,,...,,...
Shelter costs,,    Spending 30% to less than 100% of household total income on shelter costs,30PL100,,1510,,,...,,...
Shelter costs,,Number of owner households in non-farm; non-reserve private dwellings,NOHNFNRPD,,2585,,,...,,...
Shelter costs,,  % of owner households with a mortgage,POHWAM,110,75.3,,,...,,...
Shelter costs,,  % of owner households spending 30% or more of household total income on shelter costs,POHS30TISC,111,45.7,,,...,,...
Shelter costs,,  Median monthly shelter costs for owned dwellings ($),MMSCOD,112,1540,,,...,,...
Shelter costs,,  Average monthly shelter costs for owned dwellings ($),AVSCOD,112,1457,,,...,,...
Shelter costs,,  Median value of dwellings ($),MVD,113,269369,,,...,,...
Shelter costs,,  Average value of dwellings ($),AVD,113,295345,,,...,,...
